date,vc_horiz_mean,coherence_vc,accel_mean,lf_mean,z_vc,z_coherence,z_accel,z_lf,TSI,TSI_30d,alert
2010-01-31,1.474345254169448,0.8243947867441868,0.08847222320250006,2.2802514776539096,-0.43125448615512074,0.34409760573674664,-0.267205715423406,-0.22884362565467156,-0.1458015553741129,-0.14098332634912172,False
2010-02-01,1.5889132868098435,0.8543311747250318,0.07390024470851816,2.5525818444091075,-0.3960336039629036,0.47741239123857326,-0.37731161742635866,-0.18305565064034268,-0.11974712019775792,-0.12559553385892475,False
2010-02-02,1.705888975499663,0.8290562495282576,0.05781250146211706,2.437438413597831,-0.36007255221272333,0.3648563529704072,-0.49887064127946534,-0.20241516825811204,-0.17412550219497339,-0.10476807713545122,False
2010-02-03,1.4478145476481696,0.735397054382864,0.0653880620038433,2.6145717316674912,-0.4394106433948564,-0.05223322774558287,-0.4416296889290878,-0.1726330472313023,-0.27647665182520736,-0.09409147676092133,False
2010-02-04,1.1906233279590483,0.5294177379320921,0.09319519732694985,2.9002476645809367,-0.5184772158128003,-0.9695145112463834,-0.23151891240459033,-0.1246012297212329,-0.46102796729625173,-0.08875422789019181,False
2010-02-05,0.8757389480650961,0.22346952546588375,0.08553596105482542,3.10022386132018,-0.6152800096883393,-2.331984170100947,-0.28939211876049326,-0.09097844571496778,-0.8319086860661868,-0.09281813939279678,False
2010-02-06,0.9078346829512088,0.8107920047174237,0.07174893090615353,3.0073226217575795,-0.6054130330872433,0.2835207596160203,-0.39356694931547626,-0.10659829629048696,-0.20551437976929654,-0.08614854247122647,False
2010-02-07,1.6564211086731144,0.8348674116181081,0.0563123742488185,2.9994346463965518,-0.375280126870716,0.39073502036409746,-0.5102056058491446,-0.10792453259328255,-0.15066881123726145,-0.07875572497172402,False
2010-02-08,2.0399927961852704,0.8694321351817383,0.0524378839992146,3.034710909636832,-0.25736125450481145,0.5446610287644343,-0.5394812628171032,-0.10199339579392297,-0.08854372108785082,-0.08880284866314246,False
2010-02-09,2.15561006033101,0.8872857523425061,0.0508444801692871,3.337733029963997,-0.22181781410512214,0.6241679867762836,-0.551521025710082,-0.051045095611147374,-0.05005398716251697,-0.09516791489596582,False
2010-02-10,2.3180958499289397,0.9217438361452116,0.04556673285887853,3.4150670245723327,-0.17186589713975892,0.7776190996460459,-0.5913996961594095,-0.038042627120118806,-0.005922280193310302,-0.09064868536091174,False
2010-02-11,2.527473646830522,0.9402737318886735,0.06402942528904877,3.050485931262545,-0.1074982847405525,0.8601377080363256,-0.4518955509764797,-0.09934107940095188,0.05035069822958539,-0.08548672594295693,False
2010-02-12,3.092153393234212,0.960535150932767,0.07065043146522933,3.180297474098096,0.06609742399297551,0.9503672552867918,-0.40186721354127447,-0.0775153544524423,0.13427052782151266,-0.08553816745324815,False
2010-02-13,3.1104097986873946,0.9408387011956145,0.08493744744756263,2.9900396298317635,0.0717098683275846,0.8626536682790293,-0.29391448891194016,-0.10950415365740877,0.13273622350931627,-0.0820156551131797,False
2010-02-14,2.710712070580835,0.9330218570623198,0.09184175991838606,2.3078827220518687,-0.051166524586701456,0.8278431594227774,-0.2417454884825059,-0.22419787592362575,0.07768331760748609,-0.07077236820495521,False
2010-02-15,2.6884034576025444,0.9627136615792807,0.09708126074528818,1.9819227067308838,-0.05802471191410694,0.9600687489920197,-0.2021558085478608,-0.2790028145539324,0.10522135349402986,-0.0615493889268627,False
2010-02-16,3.4983299946709994,0.986901930666901,0.12080336220270305,1.7264603179870774,0.19096557349977014,1.0677856154068948,-0.02291155702409328,-0.3219547101220711,0.22847123044012516,-0.05321151342762573,False
2010-02-17,2.3356515023610505,0.9717814316670724,0.10181341448275574,1.7503471443752632,-0.1664688806084576,1.0004499674946437,-0.16639964435260798,-0.31793852410923096,0.08741072960608678,-0.05479440878303141,False
2010-02-18,2.1455577447346714,0.9460160545691884,0.08915548087782835,1.4437157906116649,-0.22490813009657262,0.8857098150294921,-0.26204301890463666,-0.36949365889652513,0.0073162517829394175,-0.04331749820165936,False
2010-02-19,1.2580808811485293,0.8473248540214716,0.09515789519466954,1.1914194311806203,-0.49773919248198667,0.4462113611627408,-0.21668876293835296,-0.41191323751156517,-0.170032457942291,-0.02961198429751311,False
2010-02-20,1.9181258843933153,0.9473608205702461,0.12198066324093433,1.2986568672803185,-0.29482598218173905,0.8916984196365633,-0.014015867753277823,-0.39388298586082837,0.04724339596017951,-0.009951982362186059,False
2010-02-21,2.6203778115684386,0.9630360914189924,0.10540518192543376,1.0402305169938324,-0.0789373802195582,0.9615046157688683,-0.13926024154438746,-0.437333223933612,0.07649344251782765,0.01502815463965729,False
2010-02-22,1.5510094725600294,0.7035396580446392,0.10002418562556603,0.9193917641750275,-0.40768611946448924,-0.19410278001737344,-0.17991906158836266,-0.4576503184271679,-0.3098395698743483,0.02009414239265015,False
2010-02-23,1.7861257561245523,0.8014209811159534,0.0752062073365498,0.6366002509631749,-0.33540589666542736,0.2417890716728409,-0.36744376089603537,-0.5051971671149903,-0.24156443825090304,0.01986346381372325,False
2010-02-24,2.996366235994103,0.9330776901460605,0.08499749733221125,0.6673328537826612,0.036650220415075145,0.8280917991580574,-0.29346075184959547,-0.5000299738019917,0.017812823480386347,0.015637755618874913,False
2010-02-25,3.155514133426778,0.9379254231152634,0.08754654925205205,0.7459789214973142,0.0855759915698372,0.8496800576137182,-0.2742001098576832,-0.48680690130221865,0.04356225950591337,0.012266686480275457,False
