date,station_id,station_name,latitude,longitude,east_mm,north_mm,up_mm
2026/01/24,950492,広島,34.3853,132.4553,-5.300000309944153,-1.7999997362494469,-1.3000001199543476
2026/01/24,950465,名古屋,35.1815,136.9066,1.2000002898275852,-8.200000040233135,-5.900000222027302
2026/01/24,950456,静岡,34.9756,138.3826,1.199999824166298,-10.900000110268593,-5.200000014156103
2026/01/24,950474,大阪,34.6937,135.5023,1.999999862164259,-4.600000102072954,-3.2999999821186066
2026/01/24,950421,東京,35.6895,139.6917,-0.2000001259148121,-4.19999985024333,0.2999999560415745
2026/01/24,950483,神戸,34.6901,135.1956,3.599999938160181,-3.0999998562037945,-5.2999998442828655
2026/01/24,950447,横浜,35.4437,139.638,3.700000233948231,-4.999999888241291,-3.599999938160181
2026/01/23,950447,横浜,35.4437,139.638,1.3000001199543476,-9.599999990314243,-9.200000204145908
2026/01/23,950456,静岡,34.9756,138.3826,1.0999999940395355,-9.000000078231096,-3.5000001080334187
2026/01/23,950474,大阪,34.6937,135.5023,2.9000001959502697,-6.800000090152025,-3.999999724328518
2026/01/23,950465,名古屋,35.1815,136.9066,5.100000184029341,-11.599999852478504,-6.700000260025263
2026/01/23,950483,神戸,34.6901,135.1956,5.200000014156103,-13.100000098347664,-9.500000160187485
2026/01/23,950421,東京,35.6895,139.6917,4.600000102072954,-10.300000198185444,-3.399999812245369
2026/01/23,950492,広島,34.3853,132.4553,1.600000075995922,-9.699999820441008,-5.200000014156103
2026/01/22,950465,名古屋,35.1815,136.9066,-1.4999997802078724,-7.600000128149986,2.399999648332596
2026/01/22,950483,神戸,34.6901,135.1956,-8.200000040233135,-8.100000210106373,-1.3000001199543476
2026/01/22,950421,東京,35.6895,139.6917,-2.79999990016222,-5.400000140070915,3.0999998562037945
2026/01/22,950474,大阪,34.6937,135.5023,0.0,-7.600000128149986,3.100000321865082
2026/01/22,950456,静岡,34.9756,138.3826,-4.399999976158142,-6.100000347942114,6.099999882280827
2026/01/22,950492,広島,34.3853,132.4553,-6.899999920278788,-7.1000000461936,2.400000113993883
2026/01/22,950447,横浜,35.4437,139.638,-6.99999975040555,-2.499999944120645,2.400000113993883
2026/01/21,950447,横浜,35.4437,139.638,-9.699999820441008,1.0000001639127731,6.599999964237213
2026/01/21,950456,静岡,34.9756,138.3826,-2.0000003278255463,-11.300000362098215,-2.500000409781933
2026/01/21,950421,東京,35.6895,139.6917,-3.000000026077032,-4.699999932199717,-0.0999998301267623
2026/01/21,950465,名古屋,35.1815,136.9066,-6.399999838322401,-7.000000216066837,-0.2999999560415745
2026/01/21,950483,神戸,34.6901,135.1956,-5.100000184029341,-11.200000066310167,-5.499999970197678
2026/01/21,950474,大阪,34.6937,135.5023,-1.9000000320374968,-9.500000160187485,-3.0999998562037945
2026/01/21,950492,広島,34.3853,132.4553,-3.200000151991844,-9.699999820441008,-2.9000001959502697
2026/01/20,950465,名古屋,35.1815,136.9066,-1.0999999940395355,-9.30000003427267,3.199999686330557
2026/01/20,950447,横浜,35.4437,139.638,-1.3000001199543476,-10.600000154227018,-0.800000037997961
2026/01/20,950421,東京,35.6895,139.6917,-1.9000000320374968,-7.1000000461936,5.400000140070915
2026/01/20,950474,大阪,34.6937,135.5023,-2.9000001959502697,-9.30000003427267,4.699999932199717
2026/01/20,950456,静岡,34.9756,138.3826,-1.3000001199543476,-11.700000148266554,1.5999996103346348
2026/01/20,950483,神戸,34.6901,135.1956,1.0999999940395355,-13.300000224262476,-0.0999998301267623
2026/01/20,950492,広島,34.3853,132.4553,1.999999862164259,-10.69999998435378,1.999999862164259
2026/01/19,950483,神戸,34.6901,135.1956,-6.400000303983688,0.800000037997961,4.800000227987766
2026/01/19,950447,横浜,35.4437,139.638,-10.799999814480543,10.100000072270632,13.60000018030405
2026/01/19,950456,静岡,34.9756,138.3826,-5.100000184029341,-0.7000002078711987,6.699999794363976
2026/01/19,950474,大阪,34.6937,135.5023,-6.099999882280827,0.6999997422099113,8.900000248104334
2026/01/19,950421,東京,35.6895,139.6917,-1.5000002458691597,1.600000075995922,9.399999864399431
2026/01/19,950465,名古屋,35.1815,136.9066,-6.399999838322401,1.999999862164259,7.599999662488699
2026/01/19,950492,広島,34.3853,132.4553,-5.499999970197678,-0.5000000819563866,6.899999920278788
2026/01/18,950492,広島,34.3853,132.4553,-1.3000001199543476,0.5000000819563866,7.600000128149986
2026/01/18,950421,東京,35.6895,139.6917,-4.000000189989805,5.2999998442828655,12.899999972432852
2026/01/18,950447,横浜,35.4437,139.638,-5.70000009611249,4.100000020116568,7.600000128149986
2026/01/18,950483,神戸,34.6901,135.1956,-0.8999998681247234,-3.4000002779066563,5.200000014156103
2026/01/18,950456,静岡,34.9756,138.3826,-3.000000026077032,-2.400000113993883,7.499999832361937
2026/01/18,950474,大阪,34.6937,135.5023,-2.7000000700354576,-2.499999944120645,6.899999920278788
2026/01/18,950465,名古屋,35.1815,136.9066,-1.39999995008111,-2.7000000700354576,6.899999920278788
2026/01/17,950465,名古屋,35.1815,136.9066,2.1000001579523087,-9.699999820441008,0.9999996982514858
2026/01/17,950492,広島,34.3853,132.4553,-0.800000037997961,-4.299999680370092,6.599999964237213
2026/01/17,950456,静岡,34.9756,138.3826,-4.000000189989805,-5.300000309944153,5.399999674409628
2026/01/17,950474,大阪,34.6937,135.5023,-3.699999768286944,-4.800000227987766,4.800000227987766
2026/01/17,950421,東京,35.6895,139.6917,-1.9000000320374968,-3.899999894201756,5.799999926239252
